+-----------+-----------------+
| Time (ms) |   Signal Name   |
|    2282   |  Engine Status  |
|    2285   | Network Timeout |
|    2288   |   Power State   |
|    2290   | Network Timeout |
|    2291   |  Engine Status  |
|    2295   | Network Timeout |
|    2296   |   Power State   |
|    2300   | Network Timeout |
|    2301   |  Engine Status  |
|    2304   |   Power State   |
|    2305   | Network Timeout |
|    2310   | Network Timeout |
|    2311   |  Engine Status  |
|    2312   |   Power State   |
|    2315   | Network Timeout |
|    2320   | Network Timeout |
|    2321   |   Power State   |
|    2322   |  Engine Status  |
|    2325   | Network Timeout |
|    2328   |   Power State   |
|    2330   | Network Timeout |
|    2331   |  Engine Status  |
|    2335   | Network Timeout |
|    2336   |   Power State   |
|    2340   | Network Timeout |
|    2341   |  Engine Status  |
|    2344   |   Power State   |
|    2345   | Network Timeout |
|    2350   | Network Timeout |
|    2351   |  Engine Status  |
|    2352   |   Power State   |
|    2355   | Network Timeout |
|    2360   | Network Timeout |
|    2361   |   Power State   |
|    2362   |  Engine Status  |
|    2365   | Network Timeout |
|    2368   |   Power State   |
|    2370   | Network Timeout |
|    2371   |  Engine Status  |
|    2375   | Network Timeout |
|    2376   |   Power State   |
|    2380   | Network Timeout |
|    2381   |  Engine Status  |
|    2384   |   Power State   |
|    2385   | Network Timeout |
|    2390   | Network Timeout |
|    2391   |  Engine Status  |
|    2392   |   Power State   |
|    2395   | Network Timeout |
|    2400   | Network Timeout |
|    2401   |   Power State   |
